,Name,Season,Tag,Team,Salary,role,bat_type,bowl_type,nationality,player2,team,bowl_type2
949,Virat Kohli,2012,,Royal Challengers Bangalore,"8,28,00,000",Batsman,Right Handed Bat,Right-arm medium,India,Virat Kohli,2012-Royal Challengers Bangalore,Pace
995,Vinay Kumar,2012,,Royal Challengers Bangalore,"4,60,00,000",Bowler,Right Handed Bat,Right-arm medium,India,Vinay Kumar,2012-Royal Challengers Bangalore,Pace
1319,Raju Bhatkal,2012,,Royal Challengers Bangalore,"10,00,000",Allrounder,Right Handed Bat,Right-arm medium,India,Raju Bhatkal,2012-Royal Challengers Bangalore,Pace
1368,Abhimanyu Mithun,2012,,Royal Challengers Bangalore,"1,19,60,000",Bowler,Right Handed Bat,Right-arm medium,India,Abhimanyu Mithun,2012-Royal Challengers Bangalore,Pace
1897,Asad Pathan,2012,,Royal Challengers Bangalore,"10,00,000",Bowler,Right Handed Bat,Right-arm medium,India,Asad Pathan,2012-Royal Challengers Bangalore,Pace
2135,Harshal Patel,2012,,Royal Challengers Bangalore,"8,00,000",Bowler,Right Handed Bat,Right-arm medium,India,Harshal Patel,2012-Royal Challengers Bangalore,Pace
2147,Thiyagarajan,2012,,Royal Challengers Bangalore,"8,00,000",Bowler,Right Handed Bat,Right-arm medium,India,Thiyagarajan,2012-Royal Challengers Bangalore,Pace
144,MS Dhoni,2013,,Chennai Super Kings,"8,28,00,000",Wicketkeeper Batsman,Right Handed Bat,Right-arm medium,India,MS Dhoni,2013-Chennai Super Kings,Pace
2191,Ankit Rajpoot,2013,,Chennai Super Kings,"10,00,000",Bowler,Right Handed Bat,Right-arm medium,India,Ankit Rajpoot,2013-Chennai Super Kings,Pace
2221,Mohit Sharma,2013,,Chennai Super Kings,"10,00,000",Bowler,Right Handed Bat,Right-arm medium,India,Mohit Sharma,2013-Chennai Super Kings,Pace
2225,Ronit More,2013,,Chennai Super Kings,"10,00,000",Bowler,Right Handed Bat,Right-arm medium,India,Ronit More,2013-Chennai Super Kings,Pace
2234,Vijay Shankar,2013,,Chennai Super Kings,"10,00,000",Allrounder,Right Handed Bat,Right-arm medium,India,Vijay Shankar,2013-Chennai Super Kings,Pace
281,Mahela Jayawardene,2013,,Delhi Daredevils,"6,44,00,000",Batsman,Right Handed Bat,Right-arm medium,Sri Lanka,Mahela Jayawardene,2013-Delhi Daredevils,Pace
1306,Bharat Chipli,2013,,Delhi Daredevils,"10,00,000",Batsman,Right Handed Bat,Right-arm medium,India,Bharat Chipli,2013-Delhi Daredevils,Pace
2282,Siddharth Kaul,2013,,Delhi Daredevils,"10,00,000",Bowler,Right Handed Bat,Right-arm medium,India,Siddharth Kaul,2013-Delhi Daredevils,Pace
848,Laxmi Shukla,2013,,Kolkata Knight Riders,"30,00,000",Allrounder,Right Handed Bat,Right-arm medium,India,Laxmi Shukla,2013-Kolkata Knight Riders,Pace
676,Dwayne Smith,2013,,Mumbai Indians,"53,27,000",Allrounder,Right Handed Bat,Right-arm medium,West Indies,Dwayne Smith,2013-Mumbai Indians,Pace
2071,Amitoze Singh,2013,,Mumbai Indians,"10,00,000",Allrounder,Right Handed Bat,Right-arm medium,India,Amitoze Singh,2013-Mumbai Indians,Pace
607,Dhawal Kulkarni,2013,,Mumbai Indians,"20,00,000",Bowler,Right Handed Bat,Right-arm medium,India,Dhawal Kulkarni,2013-Mumbai Indians,Pace
2302,Jasprit Bumrah,2013,,Mumbai Indians,"10,00,000",Allrounder,Right Handed Bat,Right-arm medium,India,Jasprit Bumrah,2013-Mumbai Indians,Pace
2303,Javed Khan,2013,,Mumbai Indians,"10,00,000",Bowler,Right Handed Bat,Right-arm medium,India,Javed Khan,2013-Mumbai Indians,Pace
2308,Jalaj Saxena,2013,,Mumbai Indians,"10,00,000",Allrounder,Right Handed Bat,Right-arm medium,India,Jalaj Saxena,2013-Mumbai Indians,Pace
827,Ricky Ponting,2013,,Mumbai Indians,"2,13,08,000",Batsman,Right Handed Bat,Right-arm medium,Australia,Ricky Ponting,2013-Mumbai Indians,Pace
1299,Angelo Mathews,2013,,Pune Warriors India,"5,06,06,500",Allrounder,Right Handed Bat,Right-arm medium,Sri Lanka,Angelo Mathews,2013-Pune Warriors India,Pace
641,Manish Pandey,2013,,Pune Warriors India,"20,00,000",Batsman,Right Handed Bat,Right-arm medium,India,Manish Pandey,2013-Pune Warriors India,Pace
711,Robin Uthappa,2013,,Pune Warriors India,"9,66,00,000",Batsman,Right Handed Bat,Right-arm medium,India,Robin Uthappa,2013-Pune Warriors India,Pace
1131,Raiphi Gomez,2013,,Pune Warriors India,"10,00,000",Allrounder,Right Handed Bat,Right-arm medium,India,Raiphi Gomez,2013-Pune Warriors India,Pace
1359,Bhuvneshwar kumar,2013,,Pune Warriors India,"20,62,778",Bowler,Right Handed Bat,Right-arm medium,India,Bhuvneshwar kumar,2013-Pune Warriors India,Pace
2179,Krishnakant Upadhyay,2013,,Pune Warriors India,"8,00,000",Allrounder,Right Handed Bat,Right-arm medium,India,Krishnakant Upadhyay,2013-Pune Warriors India,Pace
2368,Udit Birla,2013,,Pune Warriors India,"8,00,000",Batsman,Right Handed Bat,Right-arm medium,India,Udit Birla,2013-Pune Warriors India,Pace
2373,Ishwar Pandey,2013,,Pune Warriors India,"10,00,000",Bowler,Right Handed Bat,Right-arm medium,India,Ishwar Pandey,2013-Pune Warriors India,Pace
1646,Mitchell Marsh,2013,,Pune Warriors India,"1,54,48,300",Allrounder,Right Handed Bat,Right-arm medium,Australia,Mitchell Marsh,2013-Pune Warriors India,Pace
96,Manpreet Gony,2013,,Punjab Kings,"30,00,000",Bowler,Right Handed Bat,Right-arm medium,India,Manpreet Gony,2013-Punjab Kings,Pace
958,Praveen Kumar,2013,,Punjab Kings,"3,68,00,000",Bowler,Right Handed Bat,Right-arm medium,India,Praveen Kumar,2013-Punjab Kings,Pace
1170,Paul Valthaty,2013,,Punjab Kings,"20,00,000",Batsman,Right Handed Bat,Right-arm medium,India,Paul Valthaty,2013-Punjab Kings,Pace
1417,Harmeet Singh Bansal,2013,,Punjab Kings,"10,00,000",Bowler,Right Handed Bat,Right-arm medium,India,Harmeet Singh Bansal,2013-Punjab Kings,Pace
1564,Rajagopal Sathish,2013,,Punjab Kings,"30,00,000",Allrounder,Right Handed Bat,Right-arm medium,India,Rajagopal Sathish,2013-Punjab Kings,Pace
1731,Mandeep Singh,2013,,Punjab Kings,"10,00,000",Allrounder,Right Handed Bat,Right-arm medium,India,Mandeep Singh,2013-Punjab Kings,Pace
2265,Manan Vohra,2013,,Punjab Kings,"2,30,00,000",Batsman,Right Handed Bat,Right-arm medium,India,Manan Vohra,2013-Punjab Kings,Pace
2276,Sandeep Sharma,2013,,Punjab Kings,"10,00,000",Bowler,Right Handed Bat,Right-arm medium,India,Sandeep Sharma,2013-Punjab Kings,Pace
2266,Michael Neser,2013,,Punjab Kings,"11,58,043",Allrounder,Right Handed Bat,Right-arm medium,Australia,Michael Neser,2013-Punjab Kings,Pace
1996,Kevon Cooper,2013,,Rajasthan Royals,"26,63,500",Allrounder,Right Handed Bat,Right-arm medium,West Indies,Kevon Cooper,2013-Rajasthan Royals,Pace
241,Siddharth Trivedi,2013,,Rajasthan Royals,"30,00,000",Bowler,Right Handed Bat,Right-arm medium,India,Siddharth Trivedi,2013-Rajasthan Royals,Pace
659,Ajinkya Rahane,2013,,Rajasthan Royals,"20,00,000",Batsman,Right Handed Bat,Right-arm medium,India,Ajinkya Rahane,2013-Rajasthan Royals,Pace
1190,Vikramjeet Malik,2013,,Rajasthan Royals,"10,00,000",Bowler,Right Handed Bat,Right-arm medium,India,Vikramjeet Malik,2013-Rajasthan Royals,Pace
1570,Rahul Shukla,2013,,Rajasthan Royals,"8,00,000",Bowler,Right Handed Bat,Right-arm medium,India,Rahul Shukla,2013-Rajasthan Royals,Pace
1694,Stuart Binny,2013,,Rajasthan Royals,"30,00,000",Allrounder,Right Handed Bat,Right-arm medium,India,Stuart Binny,2013-Rajasthan Royals,Pace
421,AB de Villiers,2013,,Royal Challengers Bangalore,"5,85,97,000",Wicketkeeper Batsman,Right Handed Bat,Right-arm medium,South Africa,AB de Villiers,2013-Royal Challengers Bangalore,Pace
948,Virat Kohli,2013,,Royal Challengers Bangalore,"8,28,00,000",Batsman,Right Handed Bat,Right-arm medium,India,Virat Kohli,2013-Royal Challengers Bangalore,Pace
994,Vinay Kumar,2013,,Royal Challengers Bangalore,"4,60,00,000",Bowler,Right Handed Bat,Right-arm medium,India,Vinay Kumar,2013-Royal Challengers Bangalore,Pace
1367,Abhimanyu Mithun,2013,,Royal Challengers Bangalore,"1,19,60,000",Bowler,Right Handed Bat,Right-arm medium,India,Abhimanyu Mithun,2013-Royal Challengers Bangalore,Pace
2134,Harshal Patel,2013,,Royal Challengers Bangalore,"8,00,000",Bowler,Right Handed Bat,Right-arm medium,India,Harshal Patel,2013-Royal Challengers Bangalore,Pace
2339,Sandeep Warrier,2013,,Royal Challengers Bangalore,"10,00,000",Bowler,Right Handed Bat,Right-arm medium,India,Sandeep Warrier,2013-Royal Challengers Bangalore,Pace
1095,Sudeep Tyagi,2013,,Sunrisers Hyderabad,"46,00,000",Bowler,Right Handed Bat,Right-arm medium,India,Sudeep Tyagi,2013-Sunrisers Hyderabad,Pace
1908,Anand Rajan,2013,,Sunrisers Hyderabad,"10,00,000",Bowler,Right Handed Bat,Right-arm medium,India,Anand Rajan,2013-Sunrisers Hyderabad,Pace
2349,Ashish Reddy,2013,,Sunrisers Hyderabad,"10,00,000",Allrounder,Right Handed Bat,Right-arm medium,India,Ashish Reddy,2013-Sunrisers Hyderabad,Pace
2162,Veer Pratap Singh,2013,,Sunrisers Hyderabad,"10,00,000",Bowler,Right Handed Bat,Right-arm medium,India,Veer Pratap Singh,2013-Sunrisers Hyderabad,Pace
675,Dwayne Smith,2014,,Chennai Super Kings,"4,50,00,000",Allrounder,Right Handed Bat,Right-arm medium,West Indies,Dwayne Smith,2014-Chennai Super Kings,Pace
143,MS Dhoni,2014,,Chennai Super Kings,"12,50,00,000",Wicketkeeper Batsman,Right Handed Bat,Right-arm medium,India,MS Dhoni,2014-Chennai Super Kings,Pace
2220,Mohit Sharma,2014,,Chennai Super Kings,"2,00,00,000",Bowler,Right Handed Bat,Right-arm medium,India,Mohit Sharma,2014-Chennai Super Kings,Pace
2224,Ronit More,2014,,Chennai Super Kings,"10,00,000",Bowler,Right Handed Bat,Right-arm medium,India,Ronit More,2014-Chennai Super Kings,Pace
2233,Vijay Shankar,2014,,Chennai Super Kings,"10,00,000",Allrounder,Right Handed Bat,Right-arm medium,India,Vijay Shankar,2014-Chennai Super Kings,Pace
2372,Ishwar Pandey,2014,,Chennai Super Kings,"1,50,00,000",Bowler,Right Handed Bat,Right-arm medium,India,Ishwar Pandey,2014-Chennai Super Kings,Pace
809,Siddharth Kaul,2014,,Delhi Daredevils,"45,00,000",Bowler,Right Handed Bat,Right-arm medium,India,Siddarth Kaul,2014-Delhi Daredevils,Pace
847,Laxmi Shukla,2014,,Delhi Daredevils,"1,50,00,000",Allrounder,Right Handed Bat,Right-arm medium,India,Laxmi Shukla,2014-Delhi Daredevils,Pace
1569,Rahul Shukla,2014,,Delhi Daredevils,"40,00,000",Bowler,Right Handed Bat,Right-arm medium,India,Rahul Shukla,2014-Delhi Daredevils,Pace
640,Manish Pandey,2014,,Kolkata Knight Riders,"1,70,00,000",Batsman,Right Handed Bat,Right-arm medium,India,Manish Pandey,2014-Kolkata Knight Riders,Pace
710,Robin Uthappa,2014,,Kolkata Knight Riders,"5,00,00,000",Batsman,Right Handed Bat,Right-arm medium,India,Robin Uthappa,2014-Kolkata Knight Riders,Pace
993,Vinay Kumar,2014,,Kolkata Knight Riders,"2,80,00,000",Bowler,Right Handed Bat,Right-arm medium,India,Vinay Kumar,2014-Kolkata Knight Riders,Pace
2161,Veer Pratap Singh,2014,,Kolkata Knight Riders,"40,00,000",Bowler,Right Handed Bat,Right-arm medium,India,Veer Pratap Singh,2014-Kolkata Knight Riders,Pace
957,Praveen Kumar,2014,Replacement,Mumbai Indians,"50,00,000",Bowler,Right Handed Bat,Right-arm medium,India,Praveen Kumar,2014-Mumbai Indians,Pace
2301,Jasprit Bumrah,2014,,Mumbai Indians,"1,20,00,000",Allrounder,Right Handed Bat,Right-arm medium,India,Jasprit Bumrah,2014-Mumbai Indians,Pace
2307,Jalaj Saxena,2014,Withdrew,Mumbai Indians,NA,Allrounder,Right Handed Bat,Right-arm medium,India,Jalaj Saxena,2014-Mumbai Indians,Pace
1279,Anureet Singh,2014,,Punjab Kings,"20,00,000",Bowler,Right Handed Bat,Right-arm medium,India,Anureet Singh,2014-Punjab Kings,Pace
1730,Mandeep Singh,2014,,Punjab Kings,"80,00,000",Allrounder,Right Handed Bat,Right-arm medium,India,Mandeep Singh,2014-Punjab Kings,Pace
2264,Manan Vohra,2014,,Punjab Kings,"4,00,00,000",Batsman,Right Handed Bat,Right-arm medium,India,Manan Vohra,2014-Punjab Kings,Pace
2275,Sandeep Sharma,2014,,Punjab Kings,"85,00,000",Bowler,Right Handed Bat,Right-arm medium,India,Sandeep Sharma,2014-Punjab Kings,Pace
2420,Shardul Thakur,2014,,Punjab Kings,"20,00,000",Bowler,Right Handed Bat,Right-arm medium,India,Shardul Thakur,2014-Punjab Kings,Pace
1103,George Bailey,2014,,Punjab Kings,"3,25,00,000",Batsman,Right Handed Bat,Right-arm medium,Australia,George Bailey,2014-Punjab Kings,Pace
1995,Kevon Cooper,2014,,Rajasthan Royals,"30,00,000",Allrounder,Right Handed Bat,Right-arm medium,West Indies,Kevon Cooper,2014-Rajasthan Royals,Pace
606,Dhawal Kulkarni,2014,,Rajasthan Royals,"1,10,00,000",Bowler,Right Handed Bat,Right-arm medium,India,Dhawal Kulkarni,2014-Rajasthan Royals,Pace
658,Ajinkya Rahane,2014,,Rajasthan Royals,"7,50,00,000",Batsman,Right Handed Bat,Right-arm medium,India,Ajinkya Rahane,2014-Rajasthan Royals,Pace
