Player,Sal Name,Bat_role2,bat_hand,bowl_hand,bowl_stype,bowl_type,nationality,overseas
M Boucher,Mark Boucher,WK-Batsman, Right Handed Bat ,Right ,Medium,Pace,South Africa,1
M Choudhary,Mukesh Choudhary,Bowler, Left Handed Bat ,Left,Medium,Pace,India,0
M Clarke,Michael Clarke,Batsman, Right Handed Bat ,Left,Off Break,Spin,Australia,1
M Dhoni,MS Dhoni,WK-Batsman, Right Handed Bat ,Right ,Medium,Pace,India,0
M Guptill,Martin Guptill,Batsman, Right Handed Bat ,Right ,Off Break,Spin,New Zealand,1
M Henriques,Moises Henriques,Batting Allrounder, Right Handed Bat ,Right ,Fast,Pace,Australia,1
M Henry,Matt Henry,Bowler,0,Right ,Fast,Pace,New Zealand,1
M Hussey,Michael Hussey,Batsman, Left Handed Bat ,Right ,Medium,Pace,Australia,1
M Jansen,Marco Jansen,Bowling Allrounder, Right Handed Bat ,Left,Fast,Pace,South Africa,1
M Johnson,Mitchell Johnson,Bowler, Left Handed Bat ,Left,Fast,Pace,Australia,1
M Juneja,Manpreet Juneja,Batting Allrounder, Right Handed Bat ,Right ,Off Break,Spin,India,0
M Kaif,Mohammad Kaif,Batsman, Right Handed Bat ,Right ,Off Break,Spin,India,0
M Klinger,Michael Klinger,Batsman, Right Handed Bat ,0,0,0,Australia,1
M Lomror,Mahipal Lomror,Batting Allrounder, Left Handed Bat ,Left,Off Break,Spin,India,0
M Lumb,Michael Lumb,Batsman, Left Handed Bat ,Right ,Medium,Pace,England,1
M Manhas,Mithun Manhas,Batting Allrounder, Right Handed Bat ,Right ,Off Break,Spin,India,0
M Marsh,Mitchell Marsh,Batting Allrounder, Right Handed Bat ,Right ,Medium,Pace,Australia,1
M McClenaghan,MItchell McClenaghan,Bowler, Left Handed Bat ,Left,Fast,Pace,New Zealand,1
M Mishra,Mohnish Mishra,Batsman, Right Handed Bat ,Right ,Off Break,Spin,India,0
M Morkel,Morne Morkel,Bowler, Left Handed Bat ,Right ,Fast,Pace,South Africa,1
M Nabi,Mohammad Nabi,Bowling Allrounder, Right Handed Bat ,Right ,Off Break,Spin,Afghanistan,1
M Pandey,Manish Pandey,Batsman, Right Handed Bat ,Right ,Medium,Pace,India,0
M Pathirana,Matheesha Prathirana,Bowler,0,Right ,Medium,Pace,Sri Lanka,1
M Perera,Kusal Janith Perera,WK-Batsman, Left Handed Bat ,0,0,0,Sri Lanka,1
M Rawat,Mahesh Rawat,WK-Batsman, Right Handed Bat ,0,0,0,India,0
M Samuels,Marlon Samuels,Batting Allrounder, Right Handed Bat ,Right ,Off Break,Spin,West Indies,1
M Santner,Mitchell Santner,Bowling Allrounder, Left Handed Bat ,Left,Off Break,Spin,New Zealand,1
M Shahrukh Khan,Shahrukh Khan,Batsman, Right Handed Bat ,0,0,0,India,0
M Sharma,Mohit Sharma,Batting Allrounder, Left Handed Bat ,Right ,Medium,Pace,India,0
M Singh,Mandeep Singh,Batsman, Right Handed Bat ,Right ,Medium,Pace,India,0
M Starc,Mitchell Starc,Bowler, Left Handed Bat ,Left,Fast,Pace,Australia,1
M Stoinis,Marcus Stoinis,Batting Allrounder, Right Handed Bat ,Right ,Medium,Pace,Australia,1
M Theekshana,Maheesh Theekshana,Bowler, Right Handed Bat ,Right ,Off Break,Spin,Sri Lanka,1
M Tiwary,Manoj Tiwary,Batsman, Right Handed Bat ,Left,Leg Break,Spin,India,0
M Vijay,Murali Vijay,Batsman, Right Handed Bat ,Right ,Off Break,Spin,India,0
M Vohra,Manan Vohra,Batsman, Right Handed Bat ,Right ,Medium,Pace,India,0
M Wade,Matthew Wade,WK-Batsman, Left Handed Bat ,Right ,Medium,Pace,Australia,1
M Wood,Mark Wood,Bowler, Right Handed Bat ,Right ,Fast,Pace,England,1
Mohsin Khan,Mohsin Khan,Bowler, Left Handed Bat ,Left,Medium,Pace,India,0
N Doshi,Nayan Doshi,Bowler, Right Handed Bat ,Left,Off Break,Spin,England,1
N Ellis,Nathan Ellis,Bowler, Right Handed Bat ,Right ,Fast,Pace,Australia,1
N Jagadeesan,Narayan Jagadeesan,WK-Batsman, Right Handed Bat ,0,0,0,India,0
N Maddinson,Nic Maddinson,Batsman, Left Handed Bat ,Left,Off Break,Spin,Australia,1
N McCullum,Nathan McCullum,Bowling Allrounder, Right Handed Bat ,Right ,Off Break,Spin,New Zealand,1
N Naik,Nikhil Naik,WK-Batsman, Right Handed Bat ,0,0,0,India,0
N Ojha,Naman Ojha,WK-Batsman, Right Handed Bat ,0,0,0,India,0
N Perera,Thisara Perera,Bowling Allrounder, Left Handed Bat ,Right ,Medium,Pace,Sri Lanka,1
N Pooran,Nicholas Pooran,WK-Batsman, Left Handed Bat ,0,0,0,West Indies,1
N Rana,Nitish Rana,Batsman, Left Handed Bat ,Right ,Off Break,Spin,India,0
N Rimmington,Nathan Rimmington,Bowler, Right Handed Bat ,Right ,Fast,Pace,Australia,1
N Saini,Navdeep Saini,Bowler, Right Handed Bat ,Right ,Medium,Pace,India,0
N Singh,Nathu singh,Bowler,0,Right ,Medium,Pace,India,0
O Shah,Owais Shah,Batsman, Right Handed Bat ,Right ,Off Break,Spin,England,1
O Smith,Odean Smith,Bowling Allrounder, Right Handed Bat ,Right ,Medium,Pace,West Indies,1
O Thomas,Oshane Thomas,Bowler,0,Right ,Fast,Pace,West Indies,1
OC McCoy,Obed McCoy,Bowler, Left Handed Bat ,Left,Fast,Pace,West Indies,1
P Chawla,Piyush Chawla,Bowling Allrounder, Left Handed Bat ,Left,Leg Break,Spin,India,0
P Chopra,Prashant Chopra,WK-Batsman, Right Handed Bat ,Left,Leg Break,Spin,India,0
P Dubey,Praveen Dubey,Bowler, Right Handed Bat ,Left,Leg Break,Spin,India,0
P Handscomb,Peter Handscomb,WK-Batsman, Right Handed Bat ,0,0,0,Australia,1
P Krishna,Prasidh Krishna,Bowler, Right Handed Bat ,Right ,Medium,Pace,India,0
P Kumar,Praveen Kumar,Bowler, Right Handed Bat ,Right ,Medium,Pace,India,0
P Negi,Pawan Negi,Bowling Allrounder, Left Handed Bat ,Left,Off Break,Spin,India,0
P Patel,Parthiv Patel,WK-Batsman, Left Handed Bat ,0,0,0,India,0
P Raj,Prithvi Raj Yara,Bowler, Left Handed Bat,Left,Medium,Pace,India,0
P Rasool,Parvez Rasool,Bowling Allrounder, Right Handed Bat ,Right ,Off Break,Spin,India,0
P RBarman,Prayas Barman,Bowling Allrounder, Right Handed Bat ,Left,Leg Break,Spin,India,0
P Reddy,Akshath Reddy,Batsman, Right Handed Bat ,Left,Leg Break,Spin,India,0
P Sahu,Pradeep Sahu,Batting Allrounder, Right Handed Bat ,Left,Leg Break,Spin,India,0
P Shah,Pinal Shah,WK-Batsman, Right Handed Bat ,0,0,0,India,0
P Shaw,Prithvi Shaw,Batsman, Right Handed Bat ,Right ,Off Break,Spin,India,0
P Singh,Pankaj Singh,Batsman,0,Right ,Medium,Pace,India,0
P Solanki,Prashant Solanki,Bowling Allrounder,0,Right ,Leg Break,Spin,India,0
P Suyal,Pawan Suyal,Bowler,0,Left,Medium,Pace,India,0
P Tambe,Pravin Tambe,Bowler, Right Handed Bat ,Right ,Leg Break,Spin,India,0
P Valthaty,Paul Valthaty,Batsman, Right Handed Bat ,Right ,Medium,Pace,India,0
PK Garg,Priyam Garg,Batsman, Right Handed Bat ,0,0,0,India,0
PN Mankad,Prerak Mankad,Batting Allrounder, Right Handed Bat ,Right ,Medium,Pace,India,0
Q deKock,Quinton de Kock,WK-Batsman, Left Handed Bat ,0,0,0,South Africa,1
R Ashwin,Ravichandran Ashwin,Bowling Allrounder, Right Handed Bat ,Right ,Off Break,Spin,India,0
R Bawa,Raj Angad Bawa,Batting Allrounder, Left Handed Bat ,Right ,Medium,Pace,India,0
R Bhatia,Rajat Bhatia,Bowling Allrounder, Right Handed Bat ,Right ,Medium,Pace,India,0
